"Gene1","Gene2","adenoma_cor","adenoma_pVal","CTRL_cor","CTRL_pVal","zScoreDiff","pValDiff","empPVals","pValDiff_adj","Classes","type","abs_zScoreDiff"
"Parvimonas micra","Porphyromonas asaccharolytica",0.010104785826215,0.85058522344769,0.973737876080064,0,31.0357714171179,1.77523637109325e-211,3.6036036036036e-05,0.0868679315245639,"0/+","Bacteria",31.0357714171179
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS2",0.488496377990059,0,0.988623270280314,0,29.5639782346358,4.34247486809789e-192,7.20720720720721e-05,0.0868679315245639,"+/+","Bacteria",29.5639782346358
"Streptococcus sp. HSISS1","Streptococcus sp. HSISS3",0.312523080528675,2.28393925993942e-09,0.975895264085247,0,27.1401452438455,3.30978999928947e-162,0.00018018018018018,0.144779885874273,"+/+","Bacteria",27.1401452438455
"Streptococcus sp. FDAARGOS 192","Streptococcus sp. HSISS2",0.504409048752913,0,0.982338532043517,0,26.0613252370855,1.00113220786924e-149,0.000252252252252252,0.152018880167987,"+/+","Bacteria",26.0613252370855
"Streptococcus sp. FDAARGOS 192","Streptococcus sp. HSISS3",0.34318127453279,4.14397405279487e-11,0.958962738860363,0,22.7411420834056,1.75599830408642e-114,0.000648648648648649,0.31272455348843,"+/+","Bacteria",22.7411420834056
"Bifidobacterium angulatum","Trichophyton mentagrophytes",-0.00807823926619228,0.880297701751068,0.872338118520702,0,19.5029190603882,1.03691957351336e-84,0.00111711711711712,0.448817646210247,"0/+","Intersect",19.5029190603882
"Gemella morbillorum","Porphyromonas asaccharolytica",-0.0148407316097355,0.782036057683891,0.822670617264515,0,17.0342467369756,4.57595675569216e-65,0.00216216216216216,0.694943452196511,"0/+","Bacteria",17.0342467369756
"Streptococcus sp. A12","Streptococcus sp. I-G2",0.652377255318744,0,0.959013925351864,0,16.6616085295169,2.49230385641669e-62,0.00241441441441441,0.694943452196511,"+/+","Bacteria",16.6616085295169
"Streptococcus sp. A12","Streptococcus sp. JS71",0.629677819105862,0,0.954760364633031,0,16.4896108147547,4.35747109822689e-61,0.00259459459459459,0.694943452196511,"+/+","Bacteria",16.4896108147547
"Streptococcus salivarius","Streptococcus sp. HSISS2",0.479521056250462,0,0.920270531109952,0,15.4253750338995,1.10511322000191e-53,0.0034954954954955,0.783763472069942,"+/+","Bacteria",15.4253750338995
"Streptococcus anginosus","Streptococcus sp. HSISS3",0.203639975821237,0.000124850357980932,0.848901182551361,0,15.0969286822966,1.696536475445e-51,0.00374774774774775,0.783763472069942,"+/+","Bacteria",15.0969286822966
"Romboutsia ilealis","Moniliophthora perniciosa",0.731011153974709,0,0.0573278170082893,0.189691210327675,-12.6111704621459,1.83251081351235e-36,0.00601801801801802,0.783763472069942,"+/0","Intersect",12.6111704621459
"Streptococcus anginosus","Streptococcus sp. HSISS1",0.280856260677947,9.11814614923401e-08,0.793045002530925,0,11.4196255078433,3.33668612186563e-30,0.00781981981981982,0.783763472069942,"+/+","Bacteria",11.4196255078433
"Streptococcus salivarius","Streptococcus equinus",0.92651176441557,0,0.698809954376533,0,-11.0908327540721,1.3898781561448e-28,0.00825225225225225,0.783763472069942,"+/+","Bacteria",11.0908327540721
"Streptococcus sp. I-P16","Streptococcus sp. A12",0.647083041400059,0,0.908938420331925,0,10.8442348236634,2.12405745079199e-27,0.0083963963963964,0.783763472069942,"+/+","Bacteria",10.8442348236634
"Streptococcus anginosus","Streptococcus sp. HSISS2",0.236616139182588,7.65737997632243e-06,0.75472349608887,0,10.7220159738195,8.02351535693457e-27,0.0085045045045045,0.783763472069942,"+/+","Bacteria",10.7220159738195
"Streptococcus salivarius","Streptococcus sp. HSISS3",0.388137309752663,4.9737991503207e-14,0.813013278107836,0,10.4851724063402,1.01061173007985e-25,0.0089009009009009,0.783763472069942,"+/+","Bacteria",10.4851724063402
"Streptococcus anginosus","Streptococcus sp. FDAARGOS 192",0.327369092646281,3.46525919070473e-10,0.76495918316199,0,9.64685188132206,5.06879103451659e-22,0.00994594594594595,0.783763472069942,"+/+","Bacteria",9.64685188132206
"Streptococcus anginosus","Streptococcus equinus",0.335748033578815,1.14166454068254e-10,0.755179105735312,0,9.17653665381471,4.45179065248852e-20,0.0105945945945946,0.783763472069942,"+/+","Bacteria",9.17653665381471
"Streptococcus salivarius","Streptococcus sp. A12",0.303743758013275,6.63972921088885e-09,0.72898995548592,0,8.84913338824864,8.8201503156326e-19,0.0112432432432432,0.783763472069942,"+/+","Bacteria",8.84913338824864
"Streptococcus equinus","Streptococcus sp. HSISS3",0.412838767765184,8.88178419700125e-16,0.78021397238657,0,8.76191848218967,1.91955073109469e-18,0.0113873873873874,0.783763472069942,"+/+","Bacteria",8.76191848218967
"Porphyromonas asaccharolytica","Prevotella intermedia",0.5637919215316,0,0.125405992035731,0.00400290762501232,-7.39637223828962,1.39955331637876e-13,0.0139459459459459,0.783763472069942,"+/+","Bacteria",7.39637223828962
"Parvimonas micra","Romboutsia ilealis",0.47672721995692,0,0.0137989818550043,0.752430795591847,-7.29004640671957,3.0984827831546e-13,0.0140900900900901,0.783763472069942,"+/0","Bacteria",7.29004640671957
"Hyaloscypha variabilis","Choanephora cucurbitarum",0.512613967110128,0,0.0683083878862373,0.117996746887023,-7.18773713580122,6.5873928327052e-13,0.0143063063063063,0.783763472069942,"+/0","Eukaryota",7.18773713580122
"Dialister pneumosintes","Aspergillus rambellii",-0.0144911611562641,0.787045502742589,0.444565988765941,0,7.10898487771294,1.1689955355755e-12,0.0143783783783784,0.783763472069942,"0/+","Intersect",7.10898487771294
"Bifidobacterium bifidum","Bifidobacterium adolescentis",0.481790328485814,0,0.0360990383780108,0.409127274719708,-7.06277194293573,1.63213474918657e-12,0.0146306306306306,0.783763472069942,"+/0","Bacteria",7.06277194293573
"Parvimonas micra","Gemella morbillorum",0.66270996057151,0,0.857128136630568,0,6.99910735528261,2.57598426246821e-12,0.0147387387387387,0.783763472069942,"+/+","Bacteria",6.99910735528261
"Streptococcus salivarius","Streptococcus sp. I-G2",0.490171500284455,0,0.764816596756824,0,6.80627197584641,1.00160279885314e-11,0.0153153153153153,0.783763472069942,"+/+","Bacteria",6.80627197584641
"Rhizophagus clarus","Naumovozyma dairenensis",0.3094711786659,3.32299388006163e-09,0.649974940983999,0,6.57329060378025,4.92152692178177e-11,0.0158198198198198,0.783763472069942,"+/+","Eukaryota",6.57329060378025
"Streptococcus sp. A12","Streptococcus sp. HSISS2",0.154347676788794,0.00379622489971654,0.533824734839092,0,6.35085296340375,2.14124302211864e-10,0.0165045045045045,0.783763472069942,"+/+","Bacteria",6.35085296340375
"Streptococcus anginosus","Streptococcus milleri",0.896788554026443,0,0.768292255411942,0,-6.34413511857308,2.23678450712647e-10,0.0165045045045045,0.783763472069942,"+/+","Bacteria",6.34413511857308
"Streptococcus salivarius","Streptococcus sp. JS71",0.507214800038723,0,0.754752736198244,0,6.13497912300294,8.5170378220349e-10,0.016972972972973,0.783763472069942,"+/+","Bacteria",6.13497912300294
"Pichia kudriavzevii","Aspergillus ochraceoroseus",0.43645187538294,0,0.0641626313559012,0.142060907852853,-5.82678241412277,5.65062066581355e-09,0.0177297297297297,0.783763472069942,"+/0","Eukaryota",5.82678241412277
"Fusobacterium nucleatum","Fusobacterium periodonticum",0.799298887426295,0,0.613809082712715,0,-5.51015508111135,3.58517688243972e-08,0.0187387387387387,0.783763472069942,"+/+","Bacteria",5.51015508111135
"Streptococcus anginosus","Streptococcus salivarius",0.234853598185463,8.98553923489587e-06,0.546640016187194,0,5.40330564547328,6.54238381051441e-08,0.0190630630630631,0.783763472069942,"+/+","Bacteria",5.40330564547328
"Streptococcus sp. I-G2","Streptococcus sp. HSISS2",0.257311387275255,1.06608420202825e-06,0.562597098550056,0,5.39090822715329,7.01024709680022e-08,0.0191351351351351,0.783763472069942,"+/+","Bacteria",5.39090822715329
"Romboutsia ilealis","Clostridium beijerinckii",0.0606102835086399,0.25809794504483,0.40808071874961,0,5.37970124253145,7.46095505661156e-08,0.0191351351351351,0.783763472069942,"0/+","Bacteria",5.37970124253145
"Streptococcus sp. JS71","Streptococcus sp. HSISS2",0.259587298909068,8.49144564663007e-07,0.559247780904213,0,5.28514333495625,1.25606370022267e-07,0.0196036036036036,0.783763472069942,"+/+","Bacteria",5.28514333495625
"Streptococcus equinus","Streptococcus sp. HSISS2",0.523460638499773,0,0.737182472099556,0,5.24346337644453,1.57590101043614e-07,0.0197477477477477,0.783763472069942,"+/+","Bacteria",5.24346337644453
"Dialister pneumosintes","Moniliophthora perniciosa",-0.0224005718441457,0.676217974581452,0.327603456213591,1.33226762955019e-14,5.23422824054319,1.65675629134181e-07,0.0197837837837838,0.783763472069942,"0/+","Intersect",5.23422824054319
"Streptococcus salivarius","Streptococcus sp. I-P16",0.542070620412464,0,0.747387822372567,0,5.19643411927924,2.03147548255948e-07,0.019963963963964,0.783763472069942,"+/+","Bacteria",5.19643411927924
"Streptococcus salivarius","Streptococcus sp. FDAARGOS 192",0.847874351702569,0,0.922232224869204,0,5.12840006712659,2.92214943924094e-07,0.0201801801801802,0.783763472069942,"+/+","Bacteria",5.12840006712659
"Streptococcus salivarius","Streptococcus sp. HSISS1",0.823424458837292,0,0.906799461784959,0,4.93547493836269,7.9955947827592e-07,0.0208288288288288,0.783763472069942,"+/+","Bacteria",4.93547493836269
"Streptococcus sp. A12","Naumovozyma dairenensis",0.325517191015426,4.40905978393857e-10,-0.00309745209254088,0.943554903964688,-4.92177084473255,8.57646034304766e-07,0.0208288288288288,0.783763472069942,"+/0","Intersect",4.92177084473255
"Parvimonas micra","Moniliophthora perniciosa",0.33188332400319,1.91322069298394e-10,0.0184967913603878,0.672411476962571,-4.71301919613708,2.44073194277225e-06,0.0218738738738739,0.783763472069942,"+/0","Intersect",4.71301919613708
"Fusobacterium periodonticum","Trichoderma atroviride",0.275723478628532,1.59005307365234e-07,-0.0406586080256566,0.352490335509106,-4.67381374577989,2.95657479343112e-06,0.0220900900900901,0.783763472069942,"+/0","Intersect",4.67381374577989
"Streptococcus sp. I-P16","Streptococcus sp. HSISS2",0.28174733169927,8.26947936793943e-08,0.54374986106111,0,4.61832229782999,3.86855067626375e-06,0.0226306306306306,0.783763472069942,"+/+","Bacteria",4.61832229782999
"Streptococcus milleri","Colletotrichum fioriniae",0.302509645144561,7.69272956446798e-09,-0.00657429055577998,0.88054489951361,-4.60343642616546,4.15576093706265e-06,0.0228108108108108,0.783763472069942,"+/0","Intersect",4.60343642616546
"Prevotella intermedia","Thielaviopsis punctulata",0.214056222944279,5.40951578904547e-05,-0.0964996443587466,0.0270374653888004,-4.53652251039609,5.71893878412477e-06,0.0232072072072072,0.783763472069942,"+/-","Intersect",4.53652251039609
"Brachyspira pilosicoli","[Eubacterium] eligens",0.011023230395706,0.837185976608736,0.313971817878867,1.78523862359725e-13,4.53222683566271,5.83651256366801e-06,0.0232072072072072,0.783763472069942,"0/+","Bacteria",4.53222683566271
"Streptococcus thermophilus","Streptococcus sp. HSISS3",0.0540494054365191,0.313314445116821,0.352074539896874,0,4.52913563770018,5.92254715598637e-06,0.0232072072072072,0.783763472069942,"0/+","Bacteria",4.52913563770018
"Albugo candida","Naumovozyma dairenensis",0.321549214143133,7.34714067363029e-10,0.0281893145656766,0.519259761661409,-4.40597703010945,1.05308123018825e-05,0.0242162162162162,0.783763472069942,"+/0","Eukaryota",4.40597703010945
"Bifidobacterium pseudocatenulatum","Schizosaccharomyces pombe",0.303989064717948,6.44773634483897e-09,0.00915106113720009,0.834306356553554,-4.39991972908285,1.0829092832725e-05,0.0242522522522523,0.783763472069942,"+/0","Intersect",4.39991972908285
"Streptococcus milleri","Streptococcus sp. HSISS3",0.307386150152244,4.28271196284413e-09,0.550218207723806,0,4.34621664723541,1.38505772530548e-05,0.0246126126126126,0.783763472069942,"+/+","Bacteria",4.34621664723541
"Streptococcus anginosus","Colletotrichum fioriniae",0.267557779193622,3.76315514305503e-07,-0.0237320407318643,0.587439898258421,-4.30189317751941,1.69344953776609e-05,0.0249369369369369,0.783763472069942,"+/0","Intersect",4.30189317751941
"Romboutsia ilealis","Aspergillus rambellii",0.28025902747215,9.73330731568467e-08,-0.00961647803978833,0.826010503164507,-4.2962915043501,1.7367916540465e-05,0.025045045045045,0.783763472069942,"+/0","Intersect",4.2962915043501
"Naumovozyma dairenensis","Hyaloscypha variabilis",0.48698303569227,0,0.235437578799822,4.79873500935923e-08,-4.21803288230309,2.46442886551431e-05,0.0255855855855856,0.783763472069942,"+/+","Eukaryota",4.21803288230309
"Streptococcus thermophilus","Streptococcus sp. HSISS2",0.0637711296964194,0.234049432299386,0.339920782173011,1.11022302462516e-15,4.18895261048666,2.80244909461698e-05,0.0258378378378378,0.783763472069942,"0/+","Bacteria",4.18895261048666
"Streptococcus sp. FDAARGOS 192","Streptococcus thermophilus",0.0839556327002179,0.116923992484898,0.35620771919573,0,4.16349738168802,3.13409621274697e-05,0.026018018018018,0.783763472069942,"0/+","Bacteria",4.16349738168802
"Naumovozyma dairenensis","Edhazardia aedis",0.295556925155402,1.7405885621713e-08,0.0164592995805616,0.706726210612336,-4.16062996804649,3.17370944224562e-05,0.026018018018018,0.783763472069942,"+/0","Eukaryota",4.16062996804649
"Streptococcus sp. HSISS1","Streptococcus thermophilus",0.0804224180182704,0.133196160257338,0.351806512076071,0,4.14220845761425,3.43977478600628e-05,0.0261261261261261,0.783763472069942,"0/+","Bacteria",4.14220845761425
"Streptococcus salivarius","Streptococcus milleri",0.30113889325365,9.05188812794222e-09,0.530745606644701,0,4.04841591933905,5.1565452034904e-05,0.0267747747747748,0.783763472069942,"+/+","Bacteria",4.04841591933905
"Streptococcus sp. A12","Streptococcus sp. HSISS3",0.11389404426077,0.0331653564538108,0.374836269895775,0,4.03739728053199,5.40474973394537e-05,0.026990990990991,0.783763472069942,"+/+","Bacteria",4.03739728053199
"Moniliophthora perniciosa","Pneumocystis murina",0.24798086160117,2.64972922914275e-06,-0.0246019337527354,0.573814478357391,-4.01168901154027,6.02858820986682e-05,0.0271351351351351,0.783763472069942,"+/0","Eukaryota",4.01168901154027
"Streptococcus equinus","Streptococcus sp. JS71",0.558008272736974,0,0.339134899646699,1.33226762955019e-15,-3.99659308748075,6.4260619446864e-05,0.0273513513513514,0.783763472069942,"+/+","Bacteria",3.99659308748075
"Streptococcus sp. A12","Streptococcus sp. FDAARGOS 192",0.31459813489809,1.76563075271474e-09,0.538401477172381,0,3.98850562755279,6.64908259017599e-05,0.0274594594594595,0.783763472069942,"+/+","Bacteria",3.98850562755279
"Streptococcus milleri","Streptococcus sp. HSISS2",0.348953931596483,1.85129689356245e-11,0.564855465054366,0,3.98015740145956,6.88696526047768e-05,0.0275315315315315,0.783763472069942,"+/+","Bacteria",3.98015740145956
"Blautia sp. SC05B48","Romboutsia ilealis",-0.00415006019713869,0.938334690177383,0.26312069134614,9.20057807718422e-10,3.95020349470505,7.80847762632124e-05,0.0276756756756757,0.783763472069942,"0/+","Bacteria",3.95020349470505
"Fusobacterium nucleatum","Trichoderma atroviride",0.253016762877236,1.62822720284339e-06,-0.0138877677979521,0.750890356466841,-3.93451854234003,8.33636332413797e-05,0.0278198198198198,0.783763472069942,"+/0","Intersect",3.93451854234003
"Gemella morbillorum","Romboutsia ilealis",0.375488412730466,3.66817687336152e-13,0.121693137650279,0.00523707836643617,-3.93417091652849,8.34843632140899e-05,0.0278198198198198,0.783763472069942,"+/+","Bacteria",3.93417091652849
"Colletotrichum fioriniae","Hyaloscypha variabilis",-0.00773490228810268,0.885349436645074,0.258525340798998,1.83315163049258e-09,3.9307732356333,8.46731053013187e-05,0.0278198198198198,0.783763472069942,"0/+","Eukaryota",3.9307732356333
"Pseudobutyrivibrio xylanivorans","Romboutsia ilealis",0.0168699545583747,0.75314032504457,0.280466078006808,6.04032379669661e-11,3.9171122050246,8.96160435348262e-05,0.0278198198198198,0.783763472069942,"0/+","Bacteria",3.9171122050246
"Streptococcus milleri","Streptococcus sp. HSISS1",0.36356295839787,2.23554508238522e-12,0.573038957464528,0,3.91327464635886,9.10528735931892e-05,0.0278198198198198,0.783763472069942,"+/+","Bacteria",3.91327464635886
"[Candida] arabinofermentans","Hyaloscypha variabilis",0.437445132626525,0,0.196597669483229,5.67243650850813e-06,-3.89631788934286,9.76661821108354e-05,0.028,0.783763472069942,"+/+","Eukaryota",3.89631788934286
"Adlercreutzia equolifaciens","Thielaviopsis punctulata",-0.0331686786734533,0.536259285317198,0.229691137848372,1.02828171977265e-07,3.85543420486102,0.000115524399219821,0.0282882882882883,0.783763472069942,"0/+","Intersect",3.85543420486102
"Streptococcus equinus","Streptococcus sp. FDAARGOS 192",0.871291813627904,0,0.790298542983572,0,-3.84312860931703,0.000121475769592849,0.0285405405405405,0.783763472069942,"+/+","Bacteria",3.84312860931703
"Naumovozyma dairenensis","[Candida] arabinofermentans",0.397315432040149,1.11022302462516e-14,0.154505682033339,0.000380734910959912,-3.82164780505963,0.000132562922947489,0.0287567567567568,0.783763472069942,"+/+","Eukaryota",3.82164780505963
"Parvimonas micra","Dialister pneumosintes",0.054667225449404,0.307807049756748,0.308561466218896,4.81836792687318e-13,3.81484637113009,0.000136267681721762,0.0287927927927928,0.783763472069942,"0/+","Bacteria",3.81484637113009
