"","Ascomycota","Basidiomycota","Mucoromycota","Microsporidia","Chytridiomycota","Cohort","Stage","SampleName"
"MMRS34525504ST",75.4874136229023,16.1648568608095,3.68953603158934,2.39387956564659,1.65350444225074,"2016_VogtmannE","CRC","MMRS34525504ST"
"MMRS77018926ST",67.2611549426507,23.8579858118411,3.06968109792482,3.30173042498177,1.13372671219253,"2016_VogtmannE","CRC","MMRS77018926ST"
"MMRS93508324ST",80.8880034153977,9.94023053934823,3.24107015796215,3.07385797637683,1.92827664721787,"2016_VogtmannE","CRC","MMRS93508324ST"
"MMRS65205033ST",66.2726500566251,22.6146659116648,5.54218573046433,2.41364665911665,1.72706681766704,"2016_VogtmannE","CRC","MMRS65205033ST"
"MMRS77321055ST",77.3956329901573,10.2877399404156,2.75672210280198,7.01059697552513,2.00626013500773,"2016_VogtmannE","CRC","MMRS77321055ST"
"MMRS97052561ST",66.8159298780488,20.6935975609756,4.23971036585366,4.58269817073171,2.2484756097561,"2016_VogtmannE","CRC","MMRS97052561ST"
"MMRS55294627ST",68.8710754843019,18.0837866208608,3.65492890542991,6.660940929478,1.80360721442886,"2016_VogtmannE","CRC","MMRS55294627ST"
"MMRS43563715ST",68.1761615044248,18.7569137168142,6.29839601769912,2.21238938053097,2.98672566371681,"2016_VogtmannE","CRC","MMRS43563715ST"
"MMRS65945127ST",65.2610238215915,21.0745058286873,8.18043588443994,2.41256969082615,1.90572731880385,"2016_VogtmannE","CRC","MMRS65945127ST"
"MMRS14602194ST",69.0945731970635,16.6546710810422,4.79343601554628,5.70030228875774,2.9293220095005,"2016_VogtmannE","CRC","MMRS14602194ST"
"MMRS72980899ST",69.2372881355932,16.3983050847458,6.44915254237288,4.15254237288136,2.42372881355932,"2016_VogtmannE","CRC","MMRS72980899ST"
"MMRS54316675ST",65.2252252252252,20.073046018992,4.77233990747504,5.56610664718773,2.87314341368395,"2016_VogtmannE","CRC","MMRS54316675ST"
"MMRS15137911ST",68.141056713524,16.7474551623849,3.88390693165293,6.57416383906932,3.2174018419777,"2016_VogtmannE","CRC","MMRS15137911ST"
"MMRS12272136ST",65.7935007651454,18.8945899720947,4.92393554775407,6.589251957872,2.8715455936628,"2016_VogtmannE","CRC","MMRS12272136ST"
"MMRS77487595ST",65.1123595505618,19.3383270911361,3.39575530586767,7.82147315855181,3.00249687890137,"2016_VogtmannE","CRC","MMRS77487595ST"
"MMRS18295921ST",66.5130704474967,17.8201151971644,7.22640673460346,3.57997341603899,3.21222862206469,"2016_VogtmannE","CRC","MMRS18295921ST"
"MMRS81194191ST",64.2625762195122,19.921875,5.69740853658537,6.51676829268293,2.34375,"2016_VogtmannE","CRC","MMRS81194191ST"
"MMRS84954772ST",66.9905352207053,16.9947231761454,6.13954267526594,6.33218862551302,2.72217103610018,"2016_VogtmannE","CRC","MMRS84954772ST"
"MMRS67247116ST",66.127629289894,17.8356792661711,4.72876798987822,6.87569191839317,3.41609995255417,"2016_VogtmannE","CRC","MMRS67247116ST"
"MMRS85382779ST",65.914752283421,17.7345696097426,4.55300304456131,7.88126210905065,3.00996401882092,"2016_VogtmannE","CRC","MMRS85382779ST"
"MMRS44587603ST",63.7471146447807,19.5178250833547,4.84098486791485,9.07925109002308,1.74403693254681,"2016_VogtmannE","CRC","MMRS44587603ST"
"MMRS25641480ST",64.7615489976342,18.3538787199602,4.58224380525464,6.92939858050056,4.05304445274561,"2016_VogtmannE","CRC","MMRS25641480ST"
"MMRS90191266ST",63.8688134662885,19.2251395114811,4.89433720611106,7.73488244442412,3.00521452749062,"2016_VogtmannE","CRC","MMRS90191266ST"
"MMRS51410669ST",64.3977564407263,18.5046107044396,4.79132997433216,8.15191558132902,2.91852837722217,"2016_VogtmannE","CRC","MMRS51410669ST"
"MMRS16644320ST",68.8828791345954,13.4220927813605,4.90950696900354,9.41959642188475,2.33409610983982,"2016_VogtmannE","CRC","MMRS16644320ST"
"MMRS86178473ST",66.1001492289836,16.0338252362792,4.44370751119217,9.32681147405074,3.14209915436909,"2016_VogtmannE","CRC","MMRS86178473ST"
"MMRS71762412ST",63.4660421545668,18.0913348946136,3.47942455670793,8.39745734359317,3.98962863834058,"2016_VogtmannE","CRC","MMRS71762412ST"
"MMRS97327636ST",63.1166314305849,18.4284707540521,5.35588442565187,9.9630021141649,2.14059196617336,"2016_VogtmannE","CRC","MMRS97327636ST"
"MMRS72802364ST",65.3111861603143,14.777034943828,6.32710731270246,10.0351505961817,2.45364945895651,"2016_VogtmannE","CRC","MMRS72802364ST"
"MMRS42780924ST",58.2168467664651,20.613991606358,8.35398697994118,6.18948481543901,4.23647599220118,"2016_VogtmannE","CRC","MMRS42780924ST"
"MMRS81671217ST",61.5058940727212,15.793624439648,6.98157064585755,10.8791300016603,3.5198406109912,"2016_VogtmannE","CRC","MMRS81671217ST"
"MMRS78791111ST",59.9652008857956,16.8775703891174,9.55921122007803,9.86502161763155,2.4675735526732,"2016_VogtmannE","CRC","MMRS78791111ST"
"MMRS43939546ST",60.4239993451748,15.838585577474,5.00122779733159,14.2015224686912,3.46238847507571,"2016_VogtmannE","CRC","MMRS43939546ST"
"MMRS62376181ST",56.1361981063365,18.0626365622724,5.59905316824472,15.5498907501821,2.64020393299344,"2016_VogtmannE","CRC","MMRS62376181ST"
"MMRS64281551ST",83.9090114911632,8.4470129695585,4.12606679658625,1.43807539815873,1.31711578522949,"2016_VogtmannE","CTRL","MMRS64281551ST"
"MMRS86168210ST",65.4007260541748,26.836079307456,3.34171088150424,1.48934189704924,1.3217909336312,"2016_VogtmannE","CTRL","MMRS86168210ST"
"MMRS65742083ST",68.9985925037794,19.5954751602982,4.926236772142,3.33628733774696,2.14252202470938,"2016_VogtmannE","CTRL","MMRS65742083ST"
"MMRS66868025ST",62.7224526221849,25.7231350727072,4.67216126830805,3.98446112656832,1.37015066407685,"2016_VogtmannE","CTRL","MMRS66868025ST"
"MMRS97307143ST",67.1824973319104,20.7488438278193,4.85592315901814,4.72251867662753,1.3963002490217,"2016_VogtmannE","CTRL","MMRS97307143ST"
"MMRS51307502ST",64.6542685282269,23.0285304343027,2.44467744605706,7.53821533027979,0.860879642403841,"2016_VogtmannE","CTRL","MMRS51307502ST"
"MMRS20257302ST",63.8616307800918,22.7109071655489,4.13695728909283,4.82880338863396,3.0638898693964,"2016_VogtmannE","CTRL","MMRS20257302ST"
"MMRS54246132ST",65.9971526415022,19.4197545115241,7.2184385701643,3.39759128862211,2.60879602908923,"2016_VogtmannE","CTRL","MMRS54246132ST"
"MMRS79893829ST",60.8004436639246,24.0133099177373,5.34245309178297,6.91376282466032,1.67298271559294,"2016_VogtmannE","CTRL","MMRS79893829ST"
"MMRS95479054ST",65.0600303065625,19.2096981000117,5.30364844387458,6.04965613707891,3.5435365427206,"2016_VogtmannE","CTRL","MMRS95479054ST"
"MMRS38861560ST",63.1614756576958,21.0538252192319,5.14817054732386,6.42576353190203,3.24312065315996,"2016_VogtmannE","CTRL","MMRS38861560ST"
"MMRS61683006ST",62.3437045652806,21.5905786565862,7.60395463797616,3.03867403314917,3.96917708636231,"2016_VogtmannE","CTRL","MMRS61683006ST"
"MMRS84159866ST",64.0736011524736,19.791768981436,5.34001244147595,6.81661919261369,2.46537668205481,"2016_VogtmannE","CTRL","MMRS84159866ST"
"MMRS34569532ST",61.2164335493932,22.5547053949998,4.01579024318924,8.2265217603197,2.55860422047858,"2016_VogtmannE","CTRL","MMRS34569532ST"
"MMRS91297590ST",72.9588621838149,10.5680079215051,3.05157980016203,10.8650643622288,2.13340534701593,"2016_VogtmannE","CTRL","MMRS91297590ST"
"MMRS62666492ST",64.2438527200917,18.7667218753981,7.62517518155179,4.52286915530641,3.5418524652822,"2016_VogtmannE","CTRL","MMRS62666492ST"
"MMRS95277876ST",66.3887060200424,15.3975568722112,5.11301294711433,7.84141613634701,4.05237363762709,"2016_VogtmannE","CTRL","MMRS95277876ST"
"MMRS57276462ST",59.6666666666667,21.3425925925926,6.93518518518518,7.39814814814815,3.31481481481481,"2016_VogtmannE","CTRL","MMRS57276462ST"
"MMRS94549160ST",62.7425320056899,18.2475106685633,5.13798008534851,8.01706970128023,4.90469416785206,"2016_VogtmannE","CTRL","MMRS94549160ST"
"MMRS73787048ST",63.4251212148934,17.1850699844479,4.64275912542311,11.1883633702315,2.20016466928918,"2016_VogtmannE","CTRL","MMRS73787048ST"
