	CRC	CTRL
CCMD23541216ST	0.1603497295676183	0.8396502704323817
HmFeces_10323	0.30799811680202693	0.6920018831979732
M2-PK026A	0.7548861244352519	0.24511387556474798
HmFeces_10114	0.23776694171480323	0.7622330582851966
HmFeces_10031	0.33465005028242484	0.6653499497175752
S1_048	0.3961211288711289	0.6038788711288712
MMRS43939546ST	0.7222967479674797	0.27770325203252033
CCMD14479708ST-21-0	0.40419638985670037	0.5958036101432994
ANS97	0.32106291658918185	0.678937083410818
S1_013	0.2919184939553483	0.7080815060446516
CCMD26625622ST	0.20314930484018728	0.7968506951598127
S5_031	0.922	0.078
HmFeces_12020	0.5948805555555556	0.4051194444444444
HmFeces_10527	0.77337	0.22663
HmFeces_10463	0.3705902652411891	0.6294097347588109
CCMD56948710ST	0.05339614367128843	0.9466038563287116
HmFeces_10556	0.6600180015255529	0.339981998474447
CCIS87605453ST-4-0	0.5611315276969483	0.43886847230305176
S6_003_merged	0.49755404662380454	0.5024459533761955
HmFeces_10058	0.3828810935961679	0.617118906403832
CCIS88317640ST-4-0	0.39172456964926206	0.6082754303507381
MMRS35808664ST	0.33137920000618615	0.6686207999938137
HmFeces_10103	0.956	0.044
M2-PK699A	0.31928264732532974	0.6807173526746703
SID31004	0.4451541713306034	0.5548458286693966
HmFeces_11477	0.08927802077572838	0.9107219792242717
HmFeces_10890	0.2764499426109672	0.7235500573890327
HmFeces_10362	0.4009900767243041	0.5990099232756958
HmFeces_10258	0.61092236634351	0.3890776336564899
HmFeces_10126	0.5848806818181818	0.4151193181818182
HmFeces_10869	0.28769039886894354	0.7123096011310565
ANS1037	0.38077710117422925	0.6192228988257709
S1_116	0.13998437998391172	0.8600156200160883
M2-PK085A	0.6068821663789576	0.39311783362104225
CCIS34604008ST-4-0	0.07012731550706537	0.9298726844929345
SID31223	0.94	0.06
HmFeces_11955	0.11509818746174533	0.8849018125382548
HmFeces_10223	0.33593712809171616	0.6640628719082838
HmFeces_11873	0.14370237503359848	0.8562976249664016
SID530368	0.2252098791995994	0.7747901208004003
M2-PK008A	0.7580909090909091	0.2419090909090909
SID31285	0.4061606380845348	0.5938393619154653
SBJ55C	0.4893783298826777	0.5106216701173223
S5_098	0.982	0.018
CCMD85661207ST	0.17685042884107244	0.8231495711589273
HmFeces_11036	0.09768620323029568	0.9023137967697041
HmFeces_11942	0.18703369685653054	0.8129663031434694
S5_002	0.18393754771373055	0.8160624522862693
CCIS00146684ST-4-0	0.20160718630030103	0.7983928136996988
S1_033	0.7622558139534883	0.23774418604651162
S1_113	0.18204773313202574	0.8179522668679742
S5_029	0.7050909090909091	0.2949090909090909
S1_077	0.13677852511295263	0.8632214748870474
MSC81A	0.413878433776844	0.586121566223156
HmFeces_10663	0.15567546174736901	0.8443245382526309
S1_105	0.29855896445905383	0.7014410355409464
M2-PK797A	0.4271666358374129	0.572833364162587
S1_003	0.4400677234499096	0.5599322765500905
HmFeces_10231	0.23155151125288026	0.7684484887471199
S5_038	0.919	0.081
S1_125	0.4267031261648269	0.573296873835173
HmFeces_10469	0.6923774891774891	0.3076225108225108
CCMD25511638ST-21-0	0.5839222707541895	0.4160777292458106
S6_025	0.752	0.248
MMRS97327636ST	0.7041315338428342	0.29586846615716583
MMRS93621581ST	0.0859288177978589	0.9140711822021408
CCMD40701343ST-21-0	0.918	0.082
ANS71	0.5337789555294298	0.4662210444705701
CCIS77252613ST-4-0	0.46524157703994573	0.5347584229600542
HmFeces_10107	0.4750660738660739	0.5249339261339261
HmFeces_10332	0.4861743975468975	0.5138256024531024
MMRS65945127ST	0.5840681818181818	0.4159318181818182
CCMD64776337ST-21-0	0.6170482662389781	0.38295173376102176
M2-PK017A	0.7328333333333332	0.2671666666666666
HmFeces_10318	0.1773569164420761	0.8226430835579237
S3_043	0.20932500056621525	0.7906749994337849
CCMD89107682ST	0.3786535915431081	0.6213464084568918
MMRS84159866ST	0.20799178178647257	0.7920082182135275
SID532915	0.612085526618023	0.387914473381977
HmFeces_10817	0.19998209241247905	0.8000179075875211
HmFeces_10335	0.7635555555555555	0.23644444444444446
S1_092	0.22435082139229998	0.7756491786076999
HmFeces_10059	0.6954611111111111	0.3045388888888889
HmFeces_11820	0.206929669396354	0.793070330603646
CCIS53355328ST-4-0	0.843	0.157
HmFeces_10486	0.27749315603030145	0.7225068439696984
S1_036	0.27928853245688234	0.7207114675431174
S1_031	0.5891186637270538	0.4108813362729462
S5_006	0.711076923076923	0.2889230769230769
VF263	0.18866562468252465	0.8113343753174752
S5_084_merged	0.975	0.025
M2-PK644A	0.30610408552388046	0.6938959144761195
S5_055	0.872	0.128
MMRS77018926ST	0.6394934531296212	0.36050654687037864
M2-PK619A	0.10723834205724564	0.8927616579427542
ANS52	0.28878739542251564	0.7112126045774846
S1_093	0.22163847522077817	0.7783615247792218
CCIS45793747ST-4-0	0.1308149130766126	0.8691850869233874
HmFeces_10801	0.2447556693961955	0.7552443306038046
S6_020	0.946	0.054
HmFeces_10246	0.6336295518207282	0.3663704481792717
S1_007	0.6453888888888889	0.3546111111111111
HmFeces_11475	0.23843038020153678	0.7615696197984636
HmFeces_12022	0.879093023255814	0.12090697674418606
S6_017	0.6454810647685648	0.35451893523143524
CCIS12656533ST-4-0	0.7872529616724739	0.21274703832752612
HmFeces_12070	0.1628026368845317	0.8371973631154681
HmFeces_10698	0.6073575848588862	0.3926424151411136
HmFeces_11035	0.1757378772386354	0.8242621227613645
S1_081	0.5712	0.4288
HmFeces_10480	0.33283630778607554	0.6671636922139247
S6_006	0.46061344649502545	0.5393865535049744
HmFeces_10350	0.23898130365947326	0.761018696340527
SID31537	0.2608096249127329	0.7391903750872671
VF31	0.2636382323102937	0.7363617676897062
SID31360	0.49981953159583703	0.500180468404163
CCMD90311071ST-21-0	0.46766151276220996	0.53233848723779
S6_031	0.995	0.005
CCIS50471204ST-4-0	0.1424244291380827	0.8575755708619173
SID31875	0.944	0.056
S1_054	0.3602384525605114	0.6397615474394885
CCMD64503764ST-21-0	0.8487142857142856	0.15128571428571427
MMRS64281551ST	0.09801868681478648	0.9019813131852136
ANS78	0.4344053526516688	0.5655946473483311
HmFeces_10827	0.869	0.131
S6_001	0.41230941330937615	0.5876905866906239
HmFeces_10723	0.20347607816824145	0.7965239218317584
SID31766	0.17761751812308108	0.822382481876919
MMRS84954772ST	0.3657016778837738	0.6342983221162263
HmFeces_12025	0.7168847172061213	0.28311528279387865
CCMD52117727ST	0.2697545531999939	0.7302454468000061
MMRS78791111ST	0.14807963477522823	0.8519203652247715
VF28	0.6027130196465225	0.3972869803534776
S1_127	0.24910171747661303	0.7508982825233866
HmFeces_11031	0.2743597792440011	0.725640220755999
S6_007	0.47102679912249024	0.5289732008775098
HmFeces_10091	0.982	0.018
M2-PK014A	0.9577307692307693	0.042269230769230774
S5_011	0.918	0.082
M2-PK002A	0.7354987804878049	0.26450121951219513
HmFeces_10304	0.3036222672353141	0.696377732764686
MMRS18295921ST	0.928	0.072
SID531361	0.43116669013235515	0.5688333098676449
HmFeces_11524	0.6911260520487265	0.30887394795127354
M2-PK024A	0.887	0.113
CCIS07539127ST-4-0	0.2641840176598041	0.735815982340196
CCMD50529145ST	0.16834073692611723	0.831659263073883
HmFeces_10135	0.481163514178119	0.518836485821881
MSC45A	0.984	0.016
MMRS79893829ST	0.14171398691240283	0.8582860130875974
ANS49	0.2504937716671151	0.7495062283328848
S1_023	0.2762514674452826	0.7237485325547175
MMRS51410669ST	0.2008768664314443	0.7991231335685558
HmFeces_10713	0.6330111111111111	0.36698888888888886
SBJ33C	0.3294848590962726	0.6705151409037273
HmFeces_10306	0.5271558139534884	0.4728441860465116
S5_083	0.5822529552531704	0.4177470447468295
M2-PK041A	0.6192873943512021	0.380712605648798
CCIS95409808ST-4-0	0.24575154086017334	0.7542484591398267
CCIS55230578ST-4-0	0.61524484593236	0.38475515406763994
S1_121	0.25094476797361454	0.7490552320263857
CCIS27304052ST-3-0	0.25193038192946665	0.7480696180705333
MSC6A	0.7785135922330098	0.22148640776699027
HmFeces_11299	0.5291186425485197	0.4708813574514804
HmFeces_10635	0.85015	0.14984999999999998
HmFeces_10832	0.10667096530943547	0.8933290346905646
S1_083	0.10556653482118666	0.8944334651788134
CCIS11015875ST-4-0	0.6917748538011697	0.30822514619883046
HmFeces_11927	0.29266888944135216	0.7073311105586476
S1_111	0.22336240771471078	0.7766375922852894
MMRS97307143ST	0.40566526634098815	0.5943347336590119
CCIS94603952ST-4-0	0.11663039057664368	0.8833696094233561
CCMD46947453ST-21-0	0.5555867160112046	0.4444132839887955
CCIS13047523ST-4-0	0.3540581512473767	0.6459418487526233
SID31452	0.2301280040041518	0.7698719959958484
HmFeces_10819	0.47416850961940815	0.5258314903805918
SID31874	0.886	0.114
S1_060_merged	0.3839808354403911	0.6160191645596088
HmFeces_11957	0.951	0.049
ANS1186	0.3930473161800951	0.6069526838199049
HmFeces_10277	0.2281913169331478	0.7718086830668524
SID31685	0.484399225418619	0.515600774581381
HmFeces_11973	0.3430565715557477	0.6569434284442524
S6_035	0.3469472081623887	0.6530527918376113
S5_018	0.8921428571428571	0.10785714285714286
S1_109	0.1130766900183816	0.8869233099816184
HmFeces_10788	0.5009923291878995	0.49900767081210046
SID31009	0.0919225089285068	0.908077491071493
SID531416	0.943	0.057
MMRS11288076ST	0.21132056404004718	0.7886794359599526
CCIS09568613ST-4-0	0.6351569100787611	0.3648430899212389
SID531333	0.3626897396328862	0.6373102603671138
VF264	0.4894921613838151	0.5105078386161848
HmFeces_10812	0.655	0.345
CCMD54057834ST	0.09162381942637503	0.908376180573625
HmFeces_10559	0.22304330571179687	0.7769566942882035
