	CRC	CTRL
CCMD23541216ST	0.1544097458097459	0.8455902541902547
HmFeces_10323	0.3169838161838162	0.6830161838161838
M2-PK026A	0.691177339327339	0.3088226606726607
HmFeces_10114	0.30003647463647487	0.6999635253635259
HmFeces_10031	0.27191356976356984	0.72808643023643
S1_048	0.46225038850038835	0.5377496114996115
MMRS43939546ST	0.5858358030858039	0.41416419691419676
CCMD14479708ST-21-0	0.47564090909090895	0.5243590909090913
ANS97	0.298341058941059	0.7016589410589408
S1_013	0.33557255522255536	0.664427444777445
CCMD26625622ST	0.24891253746253741	0.7510874625374627
S5_031	0.8887091908091913	0.1112908091908093
HmFeces_12020	0.6023449994449994	0.3976550005550007
HmFeces_10527	0.6858208347208342	0.3141791652791656
HmFeces_10463	0.4123093462093461	0.5876906537906537
CCMD56948710ST	0.12872513042513054	0.8712748695748703
HmFeces_10556	0.5959391441891444	0.4040608558108559
CCIS87605453ST-4-0	0.5046771395271393	0.4953228604728608
S6_003_merged	0.5228546786546783	0.4771453213453216
HmFeces_10058	0.42235407370407363	0.5776459262959264
CCIS88317640ST-4-0	0.37980878010878044	0.6201912198912201
MMRS35808664ST	0.28167424242424244	0.7183257575757579
HmFeces_10103	0.8326327283827283	0.16736727161727177
M2-PK699A	0.33229047619047614	0.6677095238095239
SID31004	0.41737125652125634	0.5826287434787435
HmFeces_11477	0.14948957708957725	0.8505104229104234
HmFeces_10890	0.28520850260850267	0.7147914973914978
HmFeces_10362	0.3871295482295485	0.612870451770452
HmFeces_10258	0.5363580697080695	0.4636419302919303
HmFeces_10126	0.5923644244644245	0.40763557553557583
HmFeces_10869	0.39619151404151404	0.6038084859584864
ANS1037	0.4385402153402153	0.5614597846597849
S1_116	0.15382353757353767	0.8461764624264628
M2-PK085A	0.6726939615939616	0.3273060384060385
CCIS34604008ST-4-0	0.16609957264957279	0.8339004273504275
SID31223	0.8379304639804647	0.16206953601953605
HmFeces_11955	0.21066223221223224	0.7893377677877687
HmFeces_10223	0.34928807858807887	0.6507119214119211
HmFeces_11873	0.2573805694305694	0.7426194305694307
SID530368	0.24250693195693215	0.7574930680430685
M2-PK008A	0.700744233544234	0.29925576645576657
SID31285	0.4609297424797423	0.5390702575202578
SBJ55C	0.479118709068709	0.5208812909312911
S5_098	0.8901907814407815	0.10980921855921864
CCMD85661207ST	0.20704291264291283	0.7929570873570883
HmFeces_11036	0.2119614108114109	0.7880385891885899
HmFeces_11942	0.1957433233433235	0.804256676656677
S5_002	0.25955194250194263	0.7404480574980571
CCIS00146684ST-4-0	0.2231632423132424	0.7768367576867579
S1_033	0.6141193806193804	0.3858806193806194
S1_113	0.2879737151737153	0.712026284826285
S5_029	0.6662651626151627	0.3337348373848376
S1_077	0.2310711455211458	0.7689288544788552
MSC81A	0.43341008991009	0.5665899100899102
HmFeces_10663	0.26657409812409827	0.7334259018759025
S1_105	0.26037816627816646	0.7396218337218334
M2-PK797A	0.47252340992341046	0.5274765900765894
S1_003	0.5061869019869022	0.4938130980130978
HmFeces_10231	0.26978452658452656	0.730215473415474
S5_038	0.8482325285825294	0.15176747141747138
S1_125	0.5069675047175045	0.4930324952824955
HmFeces_10469	0.6851895215895215	0.3148104784104787
CCMD25511638ST-21-0	0.563417010767011	0.4365829892329891
S6_025	0.7368222166722169	0.2631777833277834
MMRS97327636ST	0.6272524142524141	0.372747585747586
MMRS93621581ST	0.15573321123321124	0.8442667887667887
CCMD40701343ST-21-0	0.8316502553002552	0.1683497446997448
ANS71	0.535058091908092	0.4649419080919082
CCIS77252613ST-4-0	0.4564354978354977	0.5435645021645023
HmFeces_10107	0.41876494616494603	0.5812350538350545
HmFeces_10332	0.42469047064047083	0.5753095293595294
MMRS65945127ST	0.5022964590964591	0.4977035409035409
CCMD64776337ST-21-0	0.5922675935175932	0.4077324064824068
M2-PK017A	0.7174346153846157	0.2825653846153847
HmFeces_10318	0.19911918081918098	0.8008808191808192
S3_043	0.2272133311133311	0.7727866688866691
CCMD89107682ST	0.35506608946608964	0.6449339105339102
MMRS84159866ST	0.27927433122433126	0.7207256687756693
SID532915	0.518093029193029	0.4819069708069709
HmFeces_10817	0.2524925130425131	0.7475074869574867
HmFeces_10335	0.7314720668220674	0.26852793317793333
S1_092	0.3441361804861806	0.6558638195138191
HmFeces_10059	0.6450410533910532	0.35495894660894706
HmFeces_11820	0.24484539904539931	0.755154600954602
CCIS53355328ST-4-0	0.6650890276390278	0.3349109723609723
HmFeces_10486	0.3323961982461985	0.6676038017538021
S1_036	0.37247995892995917	0.6275200410700414
S1_031	0.474301387501387	0.5256986124986128
S5_006	0.6802292318792318	0.3197707681207682
VF263	0.2252490564990566	0.7747509435009435
S5_084_merged	0.9472760350760355	0.05272396492396491
M2-PK644A	0.3764995226995228	0.6235004773004775
S5_055	0.7943861305361302	0.20561386946386961
MMRS77018926ST	0.6206170995670995	0.37938290043290074
M2-PK619A	0.1814458985458986	0.8185541014541022
ANS52	0.22286262071262086	0.7771373792873791
S1_093	0.20922239982239976	0.7907776001775997
CCIS45793747ST-4-0	0.16905621600621606	0.8309437839937841
HmFeces_10801	0.3282540071040072	0.6717459928959933
S6_020	0.8689434898434898	0.1310565101565102
HmFeces_10246	0.5394108558108558	0.4605891441891443
S1_007	0.5903336385836381	0.4096663614163618
HmFeces_11475	0.27233676878676916	0.7276632312132314
HmFeces_12022	0.7287998001998007	0.2712001998001999
S6_017	0.6211150405150406	0.37888495948495965
CCIS12656533ST-4-0	0.6714785603285602	0.32852143967144
HmFeces_12070	0.21492262182262195	0.7850773781773783
HmFeces_10698	0.5182862082362082	0.48171379176379175
HmFeces_11035	0.24314199689199686	0.756858003108003
S1_081	0.6107363469863465	0.3892636530136531
HmFeces_10480	0.33177944277944327	0.668220557220558
S6_006	0.48544893994893984	0.5145510600510602
HmFeces_10350	0.2768794871794871	0.7231205128205132
SID31537	0.23640668775668794	0.7635933122433125
VF31	0.2624953546453546	0.7375046453546453
SID31360	0.5230135420135422	0.47698645798645795
CCMD90311071ST-21-0	0.44897646797646806	0.5510235320235319
S6_031	0.9373866799866807	0.06261332001331998
CCIS50471204ST-4-0	0.19805545010545	0.8019445498945503
SID31875	0.8571171828171831	0.14288281718281734
S1_054	0.4321306915306915	0.5678693084693085
CCMD64503764ST-21-0	0.8509086358086366	0.14909136419136432
MMRS64281551ST	0.18880325230325243	0.8111967476967484
ANS78	0.4520585803085802	0.5479414196914201
HmFeces_10827	0.7711233322233325	0.22887666777666785
S6_001	0.556703996003996	0.44329600399600383
HmFeces_10723	0.27797696747696765	0.7220230325230326
SID31766	0.23933397713397725	0.7606660228660238
MMRS84954772ST	0.4193413808413812	0.5806586191586193
HmFeces_12025	0.6109066378066376	0.3890933621933625
CCMD52117727ST	0.36294861804861844	0.6370513819513819
MMRS78791111ST	0.16384072594072596	0.836159274059274
VF28	0.5563128205128204	0.4436871794871795
S1_127	0.3245148296148297	0.6754851703851705
HmFeces_11031	0.28364906204906215	0.7163509379509382
S6_007	0.5222746253746253	0.4777253746253747
HmFeces_10091	0.8637843711843718	0.13621562881562885
M2-PK014A	0.8595646908646914	0.1404353091353093
S5_011	0.8566992396492398	0.1433007603507603
M2-PK002A	0.714369796869797	0.28563020313020343
HmFeces_10304	0.3423891774891777	0.657610822510823
MMRS18295921ST	0.8457870018870024	0.1542129981129982
SID531361	0.5103936452436453	0.4896063547563547
HmFeces_11524	0.6354197635697637	0.36458023643023707
M2-PK024A	0.8495940281940284	0.1504059718059719
CCIS07539127ST-4-0	0.29660431790431796	0.7033956820956828
CCMD50529145ST	0.2306220002220003	0.7693779997780004
HmFeces_10135	0.4742780441780439	0.5257219558219559
MSC45A	0.9197228105228108	0.08027718947718947
MMRS79893829ST	0.18724393384393404	0.8127560661560671
ANS49	0.31192340992341006	0.6880765900765902
S1_023	0.3097533966033968	0.6902466033966038
MMRS51410669ST	0.26771272616272607	0.7322872738372734
HmFeces_10713	0.5637305971805969	0.4362694028194032
SBJ33C	0.3820431013431013	0.6179568986568982
HmFeces_10306	0.4893268009768007	0.5106731990231994
S5_083	0.5437648018648015	0.45623519813519847
M2-PK041A	0.5260037962037961	0.4739962037962037
CCIS95409808ST-4-0	0.2885727883227885	0.711427211677212
CCIS55230578ST-4-0	0.5554771894771889	0.44452281052281084
S1_121	0.32650380175380206	0.6734961982461984
CCIS27304052ST-3-0	0.25799438894438903	0.7420056110556116
MSC6A	0.6461459151959152	0.35385408480408465
HmFeces_11299	0.56087451992452	0.4391254800754802
HmFeces_10635	0.7235548562548564	0.27644514374514373
HmFeces_10832	0.14547503052503064	0.8545249694749696
S1_083	0.19876502386502393	0.8012349761349765
CCIS11015875ST-4-0	0.6872858696858702	0.31271413031413087
HmFeces_11927	0.3173937617937619	0.6826062382062388
S1_111	0.23893756243756253	0.7610624375624383
MMRS97307143ST	0.4851026695526697	0.5148973304473303
CCIS94603952ST-4-0	0.1739809135309137	0.8260190864690868
CCMD46947453ST-21-0	0.5163671106671105	0.4836328893328895
CCIS13047523ST-4-0	0.42187647352647367	0.5781235264735264
SID31452	0.2966551615051618	0.7033448384948388
HmFeces_10819	0.4647198412698408	0.5352801587301591
SID31874	0.8347861915861912	0.1652138084138085
S1_060_merged	0.4366536574536576	0.5633463425463425
HmFeces_11957	0.9204200133200138	0.07957998667998673
ANS1186	0.35025767565767574	0.6497423243423244
HmFeces_10277	0.2332082029082029	0.766791797091797
SID31685	0.5230752025752026	0.4769247974247975
HmFeces_11973	0.3824773393273395	0.6175226606726609
S6_035	0.3911953213453214	0.6088046786546785
S5_018	0.7708666944166946	0.22913330558330577
S1_109	0.16542950937950943	0.8345704906204907
HmFeces_10788	0.4537554556554558	0.5462445443445445
SID31009	0.16700177600177615	0.8329982239982249
SID531416	0.8602917804417805	0.13970821955821955
MMRS11288076ST	0.23477488067488078	0.7652251193251198
CCIS09568613ST-4-0	0.4957809856809858	0.5042190143190142
SID531333	0.3683002608502611	0.6316997391497391
VF264	0.47806777666777667	0.5219322233322233
HmFeces_10812	0.6951120823620824	0.30488791763791795
CCMD54057834ST	0.156911865911866	0.8430881340881345
HmFeces_10559	0.23095722055722062	0.7690427794427794
