	CRC	CTRL
CCMD23541216ST	0.10672265748020089	0.8932773425197994
HmFeces_10323	0.2361383361121217	0.7638616638878787
M2-PK026A	0.5764942439995099	0.4235057560004906
HmFeces_10114	0.4492898191135736	0.5507101808864266
HmFeces_10031	0.39213199755860406	0.6078680024413953
S1_048	0.3734873728688063	0.6265126271311945
MMRS43939546ST	0.7443022017198491	0.25569779828015127
CCMD14479708ST-21-0	0.27578050070223364	0.7242194992977675
ANS97	0.18496281033635398	0.8150371896636458
S1_013	0.36249089156731695	0.6375091084326829
CCMD26625622ST	0.2378662011250776	0.762133798874923
S5_031	0.967771903096903	0.0322280969030969
HmFeces_12020	0.6116254288046117	0.3883745711953884
HmFeces_10527	0.6477997757224149	0.35220022427758507
HmFeces_10463	0.3416410080642249	0.6583589919357751
CCMD56948710ST	0.18749234273271115	0.812507657267289
HmFeces_10556	0.2895552918204538	0.7104447081795465
CCIS87605453ST-4-0	0.768569024031524	0.23143097596847587
S6_003_merged	0.5969231830894146	0.4030768169105855
HmFeces_10058	0.44112982572982573	0.5588701742701739
CCIS88317640ST-4-0	0.4310965297887359	0.5689034702112642
MMRS35808664ST	0.36000434511964774	0.6399956548803529
HmFeces_10103	0.9823110250860251	0.017688974913974913
M2-PK699A	0.3622986306853248	0.6377013693146754
SID31004	0.6149609073037777	0.38503909269622183
HmFeces_11477	0.12522440065813453	0.8747755993418657
HmFeces_10890	0.26197672212056783	0.7380232778794321
HmFeces_10362	0.06034268696982456	0.9396573130301755
HmFeces_10258	0.4547128684030089	0.5452871315969913
HmFeces_10126	0.6242017272759922	0.37579827272400795
HmFeces_10869	0.3549255621152037	0.6450744378847969
ANS1037	0.3628661640807317	0.6371338359192678
S1_116	0.15533459108787903	0.8446654089121209
M2-PK085A	0.7232255607940673	0.2767744392059326
CCIS34604008ST-4-0	0.07425388639115539	0.9257461136088444
SID31223	0.9295024808524814	0.07049751914751917
HmFeces_11955	0.37948338634625484	0.6205166136537457
HmFeces_10223	0.41031787584029816	0.5896821241597018
HmFeces_11873	0.26361076600724936	0.7363892339927505
SID530368	0.327375099997141	0.6726249000028587
M2-PK008A	0.8291493423243418	0.1708506576756578
SID31285	0.46449915060871483	0.5355008493912853
SBJ55C	0.5167862284774046	0.4832137715225953
S5_098	0.9810773809523811	0.018922619047619046
CCMD85661207ST	0.1138420590253035	0.8861579409746966
HmFeces_11036	0.21647519038417418	0.7835248096158264
HmFeces_11942	0.22384451300536146	0.7761554869946385
S5_002	0.2516837737380825	0.7483162262619178
CCIS00146684ST-4-0	0.3488936010267714	0.651106398973229
S1_033	0.5962020727638373	0.4037979272361624
S1_113	0.22890509632766848	0.7710949036723319
S5_029	0.724655416805417	0.27534458319458327
S1_077	0.16514238852057425	0.8348576114794259
MSC81A	0.6675687540467338	0.33243124595326673
